KPI,SH_code,Description
30,SH4.2,30. Hedef kitledeki MF marka tanınırlık oranı (%): Marka faaliyetlerinin ne kadar başarılı olduğunun doğrudan ölçümüdür. Anketlerle belirlenir.
31,SH4.2,"31. Yazılı, görsel ve dijital medyada MF'ler hakkında çıkan olumlu haber/içerik sayısı: Marka itibarının ve kamuoyu algısının bir göstergesidir."
32,SH4.3,32. Hizmet verilen kurumlarda MF müdahaleleri sonucu elde edilen ortalama verimlilik artışı (%): Müşteri memnuniyetinin en somut ve nicel kanıtıdır.
33,SH4.3,33. Hizmetleri tavsiye etme oranı (Net Promoter Score - NPS veya benzeri): Müşteri sadakatinin ve memnuniyetinin en standart ve güçlü ölçütüdür.
34,SH4.3,34. Tekrar hizmet alan veya farklı bir hizmet için MF'ye başvuran KOBİ oranı: Müşteri bağlılığının ve hizmetin değerinin en net göstergesidir.
35,SH4.4,35. Çalışan Memnuniyet Oranı / Çalışan Bağlılığı Endeksi: Kurumun iç sağlığının ve motivasyon düzeyinin en temel ölçütüdür.
36,SH4.5,36. Sosyal sorumluluk projeleri/faaliyetleri kapsamında fayda sağlanan toplum bireylerinin sayısı: Yürütülen faaliyetlerin toplumsal etkisinin nicel ölçüsüdür.
37,SH4.6,37. MF hizmetlerinden yararlanıp Verimlilik Proje Ödülleri'nde (veya benzeri platformlarda) ödül/derece alan işletme sayısı: MF'nin yarattığı etkinin en üst düzeyde tescilidir.
38,SH4.7,"38. Üniversiteler ve araştırma kuruluşları ile yürütülen aktif ortak proje sayısı: İşbirliğinin sadece kağıt üzerinde kalmadığını, somut projelere dönüştüğünü gösterir."
39,SH4.7,"39. Ortaklaşa geliştirilen/yayınlanan yeni ürün/hizmet, metodoloji veya bilimsel yayın sayısı: İşbirliğinin somut ve yenilikçi bir çıktıya dönüştüğünü gösterir."
40,SH4.8,40. Aktif uluslararası kurum/Model Fabrika benzeri yapılarla stratejik ortaklık/işbirliği sayısı: Uluslararası ağa entegrasyon seviyesini gösterir.
41,SH4.8,41. Uluslararası kabul görmüş göstergelere göre yapılan karşılaştırmalı (benchmark) analiz sayısı: Kurumun kendini uluslararası düzeyde ölçme ve geliştirme taahhüdünü gösterir.
