E_code,Description,SH_code,KPI_Hint
E1.4.6,"E1.4.6: Yeşil/dirençli üretim ve ileri teknoloji iyi uygulama örnekleri için teknik geziler, çalıştaylar düzenleme",SH1.4,SH1.4; GREEN|RESILIENCE; LEAN|DIGITAL|GREEN|RESILIENCE
E1.4.7,E1.4.7: KOBİ'lerin yeşil/dirençli üretim teknolojileri yatırım/finansman ihtiyaçlarına çözüm önerileri ve yönlendirme,SH1.4,SH1.4; GREEN|RESILIENCE; LEAN|DIGITAL|GREEN|RESILIENCE
E1.5.1,E1.5.1: Dönüşüm programlarını tamamlayan KOBİ'lere takip ve mentorluk destekleri sağlama,SH1.5,SH1.5; LEAN|DIGITAL|GREEN|RESILIENCE
E1.5.2,E1.5.2: KOBİ'lerin iç sürekli iyileştirme ekipleri kurmalarını ve verimlilik takip sistemleri geliştirmelerini teşvik etme,SH1.5,SH1.5; LEAN; LEAN|DIGITAL|GREEN|RESILIENCE
E1.5.3,E1.5.3: KOBİ'lerde dönüşüm liderliği ve değişim yönetimi yetkinliklerini geliştirme eğitimleri düzenleme,SH1.5,SH1.5; LEAN|DIGITAL|GREEN|RESILIENCE
E1.5.5,E1.5.5: KOBİ'lerin 4 dönüşüm alanındaki olgunluk seviyelerini periyodik değerlendirme araçları geliştirme ve uygulama,SH1.5,SH1.5; LEAN|DIGITAL|GREEN|RESILIENCE
E1.6.1,"E1.6.1: 4 temel dönüşüm alanı için Öğren-Dönüş Programları geliştirme, yaygınlaştırma ve katılımı artırma",SH1.6,SH1.6; LEAN|DIGITAL|GREEN|RESILIENCE
E1.6.2,E1.6.2: 4 temel dönüşüm alanında proje bazlı (uygulamalı) danışmanlık hizmetleri sunma ve kalitesini artırma,SH1.6,SH1.6; LEAN|DIGITAL|GREEN|RESILIENCE
E1.6.3,E1.6.3: KOBİ ihtiyaçlarına göre modüler ve bütüncül eğitim/danışmanlık hizmet paketleri oluşturma,SH1.6,SH1.6; LEAN|DIGITAL|GREEN|RESILIENCE
E1.6.4,E1.6.4: Temel eğitim/danışmanlık hizmetlerinin KOBİ'ler üzerindeki spesifik etkilerini ölçmek için standart metotlar geliştirme,SH1.6,SH1.6; LEAN; LEAN|DIGITAL|GREEN|RESILIENCE
E2.1.1,"E2.1.1: Yeni, katma değerli, gelir getirici eğitim/danışmanlık/çevrimiçi çözümler geliştirme ve pazarlama (Pazarlama ÇG ile ortak ana sorumluluk)",SH2.1,SH2.1; LEAN
E2.4.1,E2.4.1: Kapsamlı çevrimiçi/hibrit/self-paced eğitim ve mikro-danışmanlık için dijital platformlar oluşturma ve gelir akışları yaratma (Kurumsal Gelişim ÇG ile ortak ana sorumluluk),SH2.4,SH2.4; DIGITAL; LEAN
E2.4.3,"E2.4.3: Niş alanlarda/sektörlere yönelik özel, premium fiyatlı yeni müfredat ve danışmanlık hizmetleri geliştirme",SH2.4,SH2.4; LEAN
E3.6.3,"E3.6.3: MF eğitim modülleri, danışmanlık süreçleri, idari/operasyonel iş akışlarını düzenli gözden geçirme, güncelleme, iyileştirme",SH3.6,SH3.6; DIGITAL
E3.7.2,E3.7.2: Eğitim/danışmanlık sunumunda ve KOBİ etkileşiminde çevrimiçi platformların/dijital araçların kullanımını yaygınlaştırma (Kurumsal Gelişim ÇG ile ortak ana sorumluluk),SH3.7,SH3.7; DIGITAL; DIGITAL
E3.7.3,E3.7.3: MF eğitim/danışmanlık hizmetlerine AR/VR/Oyunlaştırma/Simülasyon/Dijital İkiz gibi ileri öğrenme teknolojilerini entegre etme,SH3.7,SH3.7; DIGITAL; DIGITAL
E4.5.2,E4.5.2: Üniversite/MYO öğrencilerinin KSS projelerinde veya KOBİ dönüşüm projelerinde gönüllü/stajyer görev almasını teşvik etme,SH4.5,SH4.5; RESILIENCE
E4.6.2,E4.6.2: Başarılı dönüşüm projesi gerçekleştiren KOBİ'lere bu platformlara başvuru için mentorluk/rehberlik sağlama,SH4.6,SH4.6; DIGITAL; RESILIENCE
E4.7.1,"E4.7.1: Üniversite/araştırma kuruluşlarıyla ortak çalıştaylar, seminerler, konferanslar, eğitim programları düzenleme",SH4.7,SH4.7; RESILIENCE
E4.7.2,"E4.7.2: MF faaliyet alanları/KOBİ sorunları üzerine lisansüstü tez, araştırma projeleri, bilimsel yayınlar yapılmasını teşvik etme",SH4.7,SH4.7; RESILIENCE
E4.7.4,E4.7.4: Teknoloji start-up'ları/KOBİ'ler/üniversite spin-off'larıyla yeni çözümlerin MF'lerde pilot uygulamalarını sağlama,SH4.7,SH4.7; RESILIENCE
E4.7.5,E4.7.5: Üniversite/araştırma kuruluşlarından yararlanarak MF eğitim/danışmanlık metodolojilerini/içeriklerini sürekli geliştirme,SH4.7,SH4.7; RESILIENCE
E1.1.1,E1.1.1: Kapsamlı iletişim stratejisi oluşturma ve uygulama (4 tema için) (Ana Sorumlu: İMİ-İLT ÇG),SH1.1,SH1.1; LEAN|DIGITAL|GREEN|RESILIENCE
E1.1.2,E1.1.2: Multimedya ve sosyal medya ile sürekli farkındalık kampanyaları (4 tema için) (Ana Sorumlu: İMİ-İLT ÇG) düzenleme,SH1.1,SH1.1; LEAN|DIGITAL|GREEN|RESILIENCE
E1.1.3,"E1.1.3: Başarı hikayeleri, kazanımlar ve memnuniyet içerikleri hazırlayıp yaygınlaştırma (4 tema için) (Ana Sorumlu: İMİ-İLT ÇG)",SH1.1,SH1.1; LEAN|DIGITAL|GREEN|RESILIENCE
E1.1.7,"E1.1.7: OSB'ler, odalar vb. ile iş birliği yaparak bölgesel farkındalık etkinlikleri organize etme (Ana Sorumlu: PAZ ÇG)",SH1.1,SH1.1; LEAN|DIGITAL|GREEN|RESILIENCE
E1.3.1,"E1.3.1: Fon, hibe, teşvik fırsatları (4 dönüşüm alanına yönelik) hakkında düzenli bilgilendirme yapma (Ana Sorumlu: PAZ ÇG)",SH1.3,SH1.3; LEAN|DIGITAL|GREEN|RESILIENCE
E1.3.3,"E1.3.3: Ulusal/uluslararası kuruluşlarla (KOSGEB, UNDP vb.) KOBİ'lerin 4 dönüşüm projesini destekleyecek yeni program geliştirme (Ana Sorumlu: KUR-GEL ÇG)",SH1.3,SH1.3; LEAN|DIGITAL|GREEN|RESILIENCE
E1.4.1,"E1.4.1: MF'lerde ileri teknoloji, yeşil/dirençli üretim için demo/uygulama alanları (test yatakları) oluşturma/geliştirme (Ana Sorumlu: KUR-GEL ÇG)",SH1.4,SH1.4; GREEN|RESILIENCE; LEAN|DIGITAL|GREEN|RESILIENCE
E1.4.4,E1.4.4: KOBİ-teknoloji sağlayıcı-start-up işbirliği platformları ve etkinlikleri oluşturma (Ana Sorumlu: PAZ ÇG),SH1.4,SH1.4; DIGITAL; LEAN|DIGITAL|GREEN|RESILIENCE
E1.4.5,"E1.4.5: İleri teknoloji, yeşil/dirençli üretim çözümleri için fikir yarışmaları, hackathonlar, hızlandırma programları düzenleme (Ana Sorumlu: İMİ-İLT ÇG)",SH1.4,SH1.4; GREEN|RESILIENCE; LEAN|DIGITAL|GREEN|RESILIENCE
E1.5.4,E1.5.4: Başarılı KOBİ'leri Model İşletme olarak tanıtma ve öğrenme merkezi olmalarını destekleme (Ana Sorumlu: İMİ-İLT ÇG),SH1.5,SH1.5; LEAN|DIGITAL|GREEN|RESILIENCE
E1.6.5,E1.6.5: Temel hizmetlerden yararlanan KOBİ sayısını artırmak için hedefli pazarlama ve tanıtım faaliyetleri yürütme (Ana Sorumlu: PAZ ÇG),SH1.6,SH1.6; LEAN|DIGITAL|GREEN|RESILIENCE
E2.1.4,"E2.1.4: Değer bazlı, rekabetçi fiyatlandırma stratejileri ve cazip/kârlı hizmet paketleri hazırlama (Ana Sorumlu: PAZ ÇG)",SH2.1,SH2.1; LEAN
E2.1.6,E2.1.6: Yeni hizmetlerin ve maliyet azaltma tedbirlerinin MF kârlılığı üzerindeki etkisini periyodik analiz etme (Ana Sorumlu: KUR-GEL ÇG),SH2.1,SH2.1; LEAN
E2.3.2,E2.3.2: MF hizmetlerinin faydalarını ve ROI'yi vurgulayan etkili pazarlama materyalleri ve satış argümanları geliştirme (Ana Sorumlu: PAZ ÇG),SH2.3,SH2.3; LEAN
E2.3.7,E2.3.7: Hizmet tekliflerinin KOBİ ihtiyaçlarına göre özelleştirilmesi ve sözleşmeye dönüşme oranlarını artıracak takip mekanizmaları (Ana Sorumlu: PAZ ÇG),SH2.3,SH2.3; LEAN
E2.4.2,E2.4.2: Üniversite/araştırma kuruluşlarıyla ticarileştirilebilecek yeni ürün/hizmet/teknoloji projeleri başlatma (Ana Sorumlu: KUR-GEL ÇG),SH2.4,SH2.4; LEAN
E2.4.4,E2.4.4: Yeni hizmetlere/gelir modellerine pazar talebini belirlemek için düzenli pazar analizi/fizibilite çalışmaları yapma (Ana Sorumlu: PAZ ÇG),SH2.4,SH2.4; LEAN
E2.4.5,E2.4.5: Uluslararası pazarlara MF bilgi birikimi ve hizmetlerini ihraç etmek için projeler/işbirlikleri geliştirme (Ana Sorumlu: KUR-GEL ÇG),SH2.4,SH2.4; LEAN
E2.4.6,E2.4.6: Teknoloji sağlayıcılar vb. özel sektör kuruluşlarıyla karşılıklı faydaya dayalı gelir getirici iş modelleri geliştirme (Ana Sorumlu: PAZ ÇG),SH2.4,SH2.4; LEAN
E2.4.8,"E2.4.8: MF markası/entelektüel birikimiyle lisanslama, sertifikasyon programları aracılığıyla gelir çeşitlendirmesi sağlama (Ana Sorumlu: KUR-GEL ÇG)",SH2.4,SH2.4; LEAN
E2.5.1,E2.5.1: Ulusal/uluslararası proje/hibe/fon çağrılarını proaktif takip etme ve stratejik başvurular yapma (Ana Sorumlu: KUR-GEL ÇG),SH2.5,SH2.5; LEAN
E3.1.1,"E3.1.1: MF çalışanları için sürekli, sertifikalı, uygulamaya dönük eğitim/gelişim programları tasarlama ve uygulama (Ana Sorumlu: KUR-GEL ÇG)",SH3.1,SH3.1; DIGITAL
E3.1.5,"E3.1.5: MF'ler arası personel rotasyonu, görevlendirme ve ortak proje çalışma programları oluşturma (Ana Sorumlu: KUR-GEL ÇG)",SH3.1,SH3.1; DIGITAL
E3.2.6,"E3.2.6: Çalışanlar için bireysel gelişim planları oluşturma; mentorluk, koçluk, kariyer danışmanlığı programları geliştirme (Ana Sorumlu: KUR-GEL ÇG)",SH3.2,SH3.2; DIGITAL
E3.3.1,"E3.3.1: Tüm altyapı için kapsamlı bakım/onarım programları oluşturma, dijital takibini yapma ve uygulama (Ana Sorumlu: KUR-GEL ÇG)",SH3.3,SH3.3; DIGITAL; DIGITAL
E3.3.3,"E3.3.3: MF öğrenme hatları/uygulama alanlarındaki teknolojileri düzenli gözden geçirme, güncelleme/yenileme için teknoloji yol haritası (Ana Sorumlu: KUR-GEL ÇG)",SH3.3,SH3.3; DIGITAL
E3.3.4,"E3.3.4: Hizmet kalitesi ve KOBİ deneyimi için modern, güvenli, amaca uygun ekipman/teknolojik altyapıya yatırım yapma (Ana Sorumlu: KUR-GEL ÇG)",SH3.3,SH3.3; DIGITAL
E3.3.6,"E3.3.6: MF mevcut/yeni sistem, ekipman, teknolojileri hakkında ilgili çalışanlara düzenli uygulamalı eğitimler verme (Ana Sorumlu: KUR-GEL ÇG)",SH3.3,SH3.3; DIGITAL
E3.6.1,"E3.6.1: Tüm MF çalışanlarının katılımıyla düzenli sürekli iyileştirme (Kaizen) çalıştayları, etkinlikleri düzenleme (Ana Sorumlu: KUR-GEL ÇG)",SH3.6,SH3.6; LEAN; DIGITAL
E3.6.5,"E3.6.5: MF hizmet/yönetim sistemlerini ulusal/uluslararası standartlara (ISO 9001, ISO 29993 vb.) göre belgelendirme/akredite etme (Ana Sorumlu: KUR-GEL ÇG)",SH3.6,SH3.6; LEAN; DIGITAL
E3.6.7,"E3.6.7: Tüm MF çalışanlarının temel sürekli iyileştirme araçları/teknikleri (PUKÖ, 5S vb.) konusunda eğitilmesini sağlama (Ana Sorumlu: KUR-GEL ÇG)",SH3.6,SH3.6; LEAN; DIGITAL
E4.1.4,"E4.1.4: MF web sitelerini ve sosyal medya hesaplarını güncel, bilgilendirici, etkileşimli içeriklerle besleme (Ana Sorumlu: İMİ-İLT ÇG)",SH4.1,SH4.1; RESILIENCE
E4.3.1,"E4.3.1: KOBİ memnuniyetini, beklentilerini, tavsiye olasılığını (NPS) ölçmek için kapsamlı anketler/görüşmeler yapma (Ana Sorumlu: PAZ ÇG)",SH4.3,SH4.3; RESILIENCE
E4.3.3,"E4.3.3: Alınan geri bildirimlere hızlı, şeffaf, çözüm odaklı yanıt verme ve çözüm sürecini dijital araçlarla takip etme (Ana Sorumlu: PAZ ÇG)",SH4.3,SH4.3; DIGITAL; RESILIENCE
E4.3.4,"E4.3.4: Tüm MF çalışanlarına müşteri odaklılık, etkili iletişim, problem çözme konularında düzenli eğitimler sağlama (Ana Sorumlu: KUR-GEL ÇG)",SH4.3,SH4.3; RESILIENCE
E4.3.7,E4.3.7: MF hizmetlerinden fayda sağlayan KOBİ'lerin başarı hikayelerini/vaka analizlerini belgeleyerek yaygın kullanma (Ana Sorumlu: İMİ-İLT ÇG),SH4.3,SH4.3; RESILIENCE
E4.5.1,E4.5.1: MF uzmanlık alanlarında (4 dönüşüm) toplumsal farkındalık ve dezavantajlı gruplara beceri kazandırma odaklı KSS projeleri (Ana Sorumlu: İMİ-İLT ÇG),SH4.5,SH4.5; RESILIENCE
E4.5.3,E4.5.3: Bulundukları bölgelerin ekonomik/sosyal kalkınmasına katkı sağlayacak yerel paydaşlarla KSS projeleri geliştirme (Ana Sorumlu: İMİ-İLT ÇG),SH4.5,SH4.5; RESILIENCE
E4.8.2,"E4.8.2: Gelişmiş ülkelerdeki başarılı MF/yetkinlik merkezleriyle stratejik işbirliği anlaşmaları yapma (know-how, ortak proje vb.) (Ana Sorumlu: KUR-GEL ÇG)",SH4.8,SH4.8; RESILIENCE
E4.8.3,E4.8.3: Türkiye Model Fabrikaları başarılarını uluslararası konferans/forum/yayınlarda aktif tanıtma (Ana Sorumlu: İMİ-İLT ÇG),SH4.8,SH4.8; RESILIENCE
E4.8.5,E4.8.5: Uluslararası kuruluşlarla Türkiye MF deneyiminin diğer ülkelere transferi için projeler geliştirme ve rol alma (Ana Sorumlu: KUR-GEL ÇG),SH4.8,SH4.8; RESILIENCE
E1.2.6,E1.2.6: MF eğitmen/danışmanlarının (özellikle yeni temalarda) yetkinliklerini artırmak için sürekli eğitimler düzenleme,SH1.2,SH1.2; LEAN|DIGITAL|GREEN|RESILIENCE
E2.1.3,E2.1.3: MF operasyonel ve idari giderlerini gözden geçirerek maliyet azaltma fırsatlarını belirleme ve uygulama,SH2.1,SH2.1; LEAN
E2.1.5,"E2.1.5: Operasyonel maliyetleri azaltmak için MF iç süreçlerini yalınlaştırma, standartlaştırma ve dijital çözümlerle destekleme",SH2.1,SH2.1; LEAN|DIGITAL; LEAN
E2.2.1,"E2.2.1: Standart, performansa dayalı, gerçekçi bütçe planlama, yönetim, izleme ve raporlama sistemleri kurma",SH2.2,SH2.2; LEAN; LEAN
E2.2.2,"E2.2.2: Mali yönetim süreçlerini (bütçeleme, raporlama, satın alma vb.) entegre dijital platformlarla otomatikleştirme",SH2.2,SH2.2; DIGITAL; LEAN
E2.2.3,E2.2.3: Aylık ve üç aylık periyotlarla düzenli bütçe gerçekleşme ve performans incelemeleriyle harcama disiplinini sağlama,SH2.2,SH2.2; LEAN
E2.2.4,"E2.2.4: Nakit akışını etkin yönetme, alacakların zamanında tahsilini sağlama ve borçların zamanında ödenmesi için tedbirler alma",SH2.2,SH2.2; LEAN
E2.4.7,E2.4.7: MF altyapılarını KOBİ dışı kurumlara özel eğitim/etkinlik/kiralama ile gelir için değerlendirme,SH2.4,SH2.4; LEAN
E2.5.2,"E2.5.2: Kamu/özel sektör/STK/uluslararası kuruluşlarla ortak projeler, işbirliği modelleri ve sponsorluk anlaşmaları geliştirme",SH2.5,SH2.5; LEAN
E2.5.3,"E2.5.3: Proje geliştirme, yazımı, başvurusu, yönetimi konusunda uzman birim/ekip kurma veya yetkinlikleri artırma",SH2.5,SH2.5; LEAN
E2.5.4,E2.5.4: Dış finansman sağlama çabalarının etkinliğini periyodik analiz etme ve stratejileri gözden geçirme,SH2.5,SH2.5; LEAN
E2.5.5,E2.5.5: Yeni MF kurulumları/kapasite artırımı için fizibilite çalışmaları ve yatırım teklifleri hazırlama,SH2.5,SH2.5; LEAN
E2.5.6,"E2.5.6: KSS fonları, etki yatırımcıları gibi alternatif finansman kaynaklarını araştırma ve değerlendirme",SH2.5,SH2.5; LEAN
E3.1.2,"E3.1.2: Çalışan bağlılığını/motivasyonunu artırmak için düzenli sosyal etkinlikler, ekip çalışması, tanıma programları düzenleme",SH3.1,SH3.1; DIGITAL
E3.1.3,"E3.1.3: Çalışan memnuniyetini/bağlılığını periyodik ölçme, analiz etme ve iyileştirme aksiyon planları oluşturma",SH3.1,SH3.1; DIGITAL
E3.1.4,E3.1.4: Kilit rollerdeki personel için yedekleme planlaması yapma ve potansiyel yedeklerin gelişimini destekleme,SH3.1,SH3.1; DIGITAL
E3.1.6,E3.1.6: Nitelikli personeli kazanma/elde tutma için rekabetçi ücret/yan haklar politikası ve kariyer yolları sunma,SH3.1,SH3.1; DIGITAL
E3.2.1,E3.2.1: MF hizmet/hedeflerinin gerektirdiği yetkinliklere göre stratejik İK planlaması yapma,SH3.2,SH3.2; DIGITAL
E3.2.2,E3.2.2: Tüm pozisyonlar için yetkinlik bazlı görev tanımları ve SMART performans hedefleri oluşturma/güncelleme,SH3.2,SH3.2; DIGITAL
E3.2.3,"E3.2.3: Şeffaf, adil performans değerlendirme sistemi kurma ve sonuçlarını ücret/terfi/kariyer/ödül ile entegre etme",SH3.2,SH3.2; DIGITAL
E3.2.4,E3.2.4: Çalışan ücret ve yan haklarını rekabetçi ve adil belirleme ve gözden geçirme,SH3.2,SH3.2; DIGITAL
E3.2.5,"E3.2.5: Düzenli performans değerlendirme, geri bildirim ve kariyer gelişim planlama toplantıları yapılmasını sağlama",SH3.2,SH3.2; DIGITAL
E3.2.7,"E3.2.7: Yetkinlik bazlı, adil, şeffaf işe alım ve oryantasyon süreci tasarlayarak doğru yetenekleri kazanma ve adapte etme",SH3.2,SH3.2; DIGITAL
E3.2.8,"E3.2.8: MF genelinde temel İK politika, prosedür ve yönetmeliklerini standartlaştırma, yazılı hale getirme ve bilinirliğini sağlama",SH3.2,SH3.2; LEAN; DIGITAL
E3.3.2,"E3.3.2: Bakım uyumu, ekipman çalışma süresi, arıza durumlarını dijital izleme/raporlama ile takip etme ve iyileştirme",SH3.3,SH3.3; DIGITAL; DIGITAL
E3.3.5,"E3.3.5: MF fiziksel/dijital altyapı risklerini analiz etme; güvenlik, acil durum, veri yedekleme, iş sürekliliği planları geliştirme",SH3.3,SH3.3; DIGITAL|RESILIENCE; DIGITAL
E3.4.1,"E3.4.1: Tüm yasal/idari yükümlülüklerin (vergi, SGK, iş hukuku, muhasebe vb.) zamanında, doğru yerine getirilmesi için süreçler kurma",SH3.4,SH3.4; DIGITAL
E3.4.2,"E3.4.2: Etkin iç kontrol sistemleri kurma, düzenli iç/dış denetimleri yönetme; denetim sonuçlarını/aksiyonlarını takip etme",SH3.4,SH3.4; DIGITAL
E3.4.3,"E3.4.3: Tüm çalışanları yasal düzenlemeler, etik kurallar, kurum politikaları, uyum konularında düzenli eğitme",SH3.4,SH3.4; DIGITAL
E3.4.4,E3.4.4: Yasal/idari uyum performansını ölçme ve düzenli üst yönetime/YK'ya raporlama,SH3.4,SH3.4; DIGITAL
E3.4.5,"E3.4.5: MF tüm faaliyetlerinde (sözleşmeler, KVKK vb.) yasal/etik standartlara uyum için standart dokümanlar/rehberler oluşturma",SH3.4,SH3.4; LEAN; DIGITAL
E3.5.1,"E3.5.1: PG'ler aracılığıyla düzenli takip için kapsamlı İ&D sistemi kurma, işletme ve standartlaşmasını sağlama",SH3.5,SH3.5; LEAN; DIGITAL
E3.5.2,"E3.5.2: Stratejik planlama, izleme, veri toplama, raporlama süreçlerini dijitalleştirme/otomatikleştirme için araçlar kullanma",SH3.5,SH3.5; DIGITAL; DIGITAL
E3.5.3,"E3.5.3: İç/dış paydaşlar için düzenli performans/değerlendirme raporları hazırlama, paylaşma ve geri bildirim alma",SH3.5,SH3.5; DIGITAL
E3.5.4,"E3.5.4: Yıllık/dönem ortası düzenli stratejik gözden geçirme toplantılarıyla uyum, performans, risk/fırsatları analiz etme",SH3.5,SH3.5; RESILIENCE; DIGITAL
E3.5.5,E3.5.5: Stratejik planın yaşayan bir belge olması; gerektiğinde (en az yılda bir) esnek güncellemeler/revizyonlar yapma,SH3.5,SH3.5; DIGITAL
E3.5.6,"E3.5.6: İ&D faaliyetleri ve uygulamalardan elde edilen dersleri kurumsal hafızaya aktarma, iyi uygulamaları yaygınlaştırma",SH3.5,SH3.5; DIGITAL
E3.6.2,E3.6.2: Çalışan iyileştirme öneri sistemi kurma; başarılı projeleri/katkıları tanıma ve ödüllendirme programları geliştirme,SH3.6,SH3.6; DIGITAL
E3.6.4,"E3.6.4: Tamamlanan sürekli iyileştirme projelerinin sonuçlarını takip etme, analiz etme, başarı hikayelerini/dersleri paylaşma",SH3.6,SH3.6; DIGITAL
E3.6.6,E3.6.6: Ulusal/uluslararası en iyi uygulamaları (benchmark) takip ederek MF hizmet/süreçlerini kıyaslama ve iyileştirme,SH3.6,SH3.6; DIGITAL
E3.7.1,"E3.7.1: MF temel iş süreçleri için entegre ERP sistemi veya modüler dijital çözümler belirleme, kurma ve etkin kullanımını sağlama",SH3.7,SH3.7; DIGITAL; DIGITAL
E3.7.4,"E3.7.4: Tüm bilgi/belge/veriyi güvenli, erişilebilir merkezi dijital veri tabanında/bilgi yönetim sisteminde saklama",SH3.7,SH3.7; DIGITAL; DIGITAL
E3.7.5,"E3.7.5: MF dijital varlıkları/verileri için güncel siber güvenlik politikaları oluşturma, teknik tedbirleri alma",SH3.7,SH3.7; DIGITAL|RESILIENCE; DIGITAL
E3.7.6,"E3.7.6: MF çalışanlarının kullandıkları bilişim teknolojileri, dijital araçlar, veri yönetimi, siber güvenlik konularında eğitimleri",SH3.7,SH3.7; DIGITAL|RESILIENCE; DIGITAL
E3.8.1,"E3.8.1: MF'ler arası düzenli bilgi/deneyim paylaşım toplantıları, tematik çalıştaylar, akran öğrenmesi etkinlikleri organize etme",SH3.8,SH3.8; DIGITAL
E3.8.2,"E3.8.2: MF'lerin erişebileceği ortak dijital bilgi bankası, iyi uygulama portalı, işbirliği platformu oluşturma ve kullanımını teşvik",SH3.8,SH3.8; DIGITAL; DIGITAL
E3.8.3,"E3.8.3: MF başarılı projelerini, yenilikçi çözümlerini, öğrenilen dersleri belgeleyerek diğer MF'lerle paylaşım mekanizmaları kurma",SH3.8,SH3.8; DIGITAL
E3.8.4,E3.8.4: Uzmanlaşmış MF'lerin diğer MF'lere mentorluk/uzmanlık aktarımı programları geliştirme,SH3.8,SH3.8; DIGITAL
E3.8.5,"E3.8.5: MF ağı genelinde ortak standartlar, metodolojiler, etik kurallar, kalite güvence sistemleri için ortak çalışma grupları",SH3.8,SH3.8; LEAN; DIGITAL
E4.1.6,E4.1.6: MF karar alma süreçlerine kilit paydaş katılımını sağlayacak danışma kurulları/platformları oluşturma/etkinleştirme,SH4.1,SH4.1; DIGITAL; RESILIENCE
E4.5.4,E4.5.4: MF çalışanlarının KSS faaliyetlerine gönüllü katılımını teşvik etme ve destekleme,SH4.5,SH4.5; RESILIENCE
E4.6.4,E4.6.4: Verimlilik Proje Ödülleri vb. platformların düzenleyicileriyle iş birliği yaparak MF müşterilerinin katılımını kolaylaştırma,SH4.6,SH4.6; LEAN|DIGITAL; RESILIENCE
E4.7.3,E4.7.3: MF tesis/altyapısının üniversite/araştırma kuruluşlarının Ar-Ge çalışmaları için kullanılmasına yönelik işbirliği modelleri,SH4.7,SH4.7; RESILIENCE
E4.7.6,E4.7.6: Sanayi-üniversite-kamu işbirliği platformlarında aktif rol alarak MF'lerin ekosistemdeki yerini güçlendirme,SH4.7,SH4.7; DIGITAL; RESILIENCE
E4.8.1,E4.8.1: Uluslararası MF ağlarına/yetkinlik merkezi platformlarına üyelik ve aktif katılım sağlama,SH4.8,SH4.8; DIGITAL; RESILIENCE
E4.8.4,E4.8.4: MF performansını uluslararası kriterler/en iyi uygulamalarla (benchmark) düzenli karşılaştırma ve iyileştirme sağlama,SH4.8,SH4.8; RESILIENCE
E1.1.4,E1.1.4: İletişim stratejileri ve farkındalık kampanyalarının etkisini izleme ve değerlendirme (Ana Sorumlu: İMİ-İLT ÇG),SH1.1,SH1.1; LEAN|DIGITAL|GREEN|RESILIENCE
E2.3.3,E2.3.3: Etkili satış süreci yönetimi ve Müşteri İlişkileri Yönetimi (CRM) sistemi kurma ve kullanma (Ana Sorumlu: PAZ ÇG),SH2.3,SH2.3; DIGITAL; LEAN
E2.3.4,E2.3.4: Satış ve pazarlama ekiplerinin yetkinliklerini sürekli eğitimlerle artırma (Ana Sorumlu: PAZ ÇG),SH2.3,SH2.3; LEAN
E4.1.2,"E4.1.2: Paydaşlara yönelik düzenli e-bültenler, yıllık faaliyet raporları, bilgilendirme notları hazırlayarak bilgilendirme sağlama (Ana Sorumlu: İMİ-İLT ÇG)",SH4.1,SH4.1; RESILIENCE
